"names","Glucose","Isobutanol","Isocitrate","Pyruvate","Stearate","Succinate","Xylose"
"Palmitoyl-CoA C16:0","0.00035684099522927","6.1577218577465E-5","0.00012805248354875","0.00040770968316982","6.6557951178334E-5","6.6557951178334E-5","0.00035684099522927"
"Stearoyl-CoA C18:0","0.00046939481613847","1.4712810260474E-5","1.4712810260474E-5","9.0125298384908E-5","1.4712810260474E-5","1.4712810260474E-5","0.00046939481613847"
"Oleoyl-CoA C18:1","0.00018040707819391","0","0.0001804070781939","0.001105107825434","0.0001804070781939","0","0.0001804070781939"
"Stearate","0.000454682005878","0","0","0.00010483810864538","3.3881317890172E-21","0","0.000454682005878"
"Oleate","0","0.0001804070781939","0","0.0012855149036279","1.3552527156069E-20","0.0001804070781939","0"
