"names","Glucose","Isobutanol","Isocitrate","Propionate","Pyruvate","Stearate","Succinate","Xylose"
"Acyl-CoAs pool in Cytosol","0.010070490966675","0","0","0.0059353746540496","0.0098027610301459","0.012298906474083","0.0002677299365292","0.010070490966675"
"Acyl-CoAs pool in Liposome","0.0018781105012067","0.011948601467882","0.011948601467882","0.0060132268138322","0.0021458404377359","0.00035030500620176","0.011680871531353","0.0018781105012067"
"ECFA pool in Liposome","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176","0.00035030500620176"
