Time,real data Biomass,real data Propanoate,real data Acetate,new iYali Biomass,new iYali Acetate,new iYali Propanoate
0,0.1,11.534,5.205,0.1,5,11.3
3,0.09,11.48,5.105,0.387991865023108,4.54292134190985,11.3
6,0.139,11.379,5.09,0.707564775071086,4.03572954428194,11.3
9,0.22,11.478,4.92,1.28353174755688,3.12165407927713,11.3
12,0.563,11.391,4.8275,2.3198156604699,1.47729915860754,11.3
15,0.86,11.784,3.9125,3.48030240748547,-0.0000000580072055410367,11.2915008598183
18,2.85,11.143,3.3125,4.09744355893527,-0.0000000580072055410367,11.2681419067793
21,4.92,11.557,1.68625,4.82548125547966,-0.0000000580072055410367,11.2405854906753
24,9.05,11.321,0.68625,5.66149505539493,-0.0000000580072055410367,11.2089421509849
27,12.7,11.152,0.18125,6.63614039684405,-0.0000000580072055410367,11.1720515714032
30,14.6,10.963,0,7.77928228426848,-0.0000000580072055410367,11.1287833537473
33,16.1,10.739,0,9.11912689760435,-0.0000000580072055410367,11.078069886773
36,16.4,10.872,0,10.6900597816492,-0.0000000580072055410367,11.0186096686693
39,17.1,10.012,0,12.5312564481105,-0.0000000580072055410367,10.9489198961326
42,17.5,9.883,0,14.6909546096549,-0.0000000580072055410367,10.8671747591967
45,18.6,8.936,0,17.2198081022825,-0.0000000580072055410367,10.7714569969988
