name,Real Data,new iYali,enhanced iYali
Lipid %,6.876%,0.999800601533718%,3.31374500108755%
OCFA %,9.865%,12.2878435890031%,65.1432270464818%
C15:0,1.22206012660727%,0.651432270464818%,3.70814398361078%
C16:0,14.1964744037893%,17.5781725888326%,19.0000000000001%
C17:1,52.7730628901475%,57.506642578831%,71.3653621078474%
C18:0,4.7381585723782%,4.20000000000001%,4.19999999999999%
C18:1,52.2882248024655%,51.5102710690492%,75.7999999999869%
